race_id,日付,レース,馬名,馬番,枠,騎手,斤量,実着順,着順1,人気1,場1,レース名1,着順2,人気2,場2,レース名2,着順3,人気3,場3,レース名3,着順4,人気4,場4,レース名4,着順5,人気5,場5,レース名5,単勝オッズ,人気,オッズ更新日時,source
202630062501,2026-06-25,1,アクシズ,3,3,落合玄太,57.0,2.0,11.0,11.0,,,5.0,13.0,,,10.0,11.0,,,10.0,15.0,,,9.0,10.0,,,1.5,1,,nar
202630062501,2026-06-25,1,アーミールック,10,8,黒澤愛斗,55.0,6.0,5.0,9.0,,,10.0,11.0,,,11.0,10.0,,,11.0,9.0,,,3.0,3.0,,,35.8,6,,nar
202630062501,2026-06-25,1,オセロ,6,6,藤田凌駕,55.0,3.0,6.0,8.0,,,6.0,10.0,,,6.0,8.0,,,5.0,8.0,,,3.0,3.0,,,13.5,4,,nar
202630062501,2026-06-25,1,カネトシブレーブ,5,5,岩橋勇二,57.0,9.0,9.0,9.0,,,9.0,10.0,,,9.0,11.0,,,12.0,12.0,,,14.0,12.0,,,282.5,9,,nar
202630062501,2026-06-25,1,シルバーコムコム,2,2,服部茂史,55.0,4.0,7.0,9.0,,,7.0,11.0,,,8.0,8.0,,,8.0,9.0,,,8.0,6.0,,,41.0,7,,nar
202630062501,2026-06-25,1,ジャックルージュ,9,8,若杉朝飛,57.0,7.0,6.0,8.0,,,11.0,10.0,,,9.0,7.0,,,11.0,10.0,,,7.0,10.0,,,78.6,8,,nar
202630062501,2026-06-25,1,ツワ,8,7,石川倭,55.0,8.0,4.0,8.0,,,11.0,7.0,,,4.0,4.0,,,1.0,1.0,,,3.0,3.0,,,30.6,5,,nar
202630062501,2026-06-25,1,ニシノエンデヴァー,,1,,,5.0,5.0,2.0,,,4.0,7.0,,,5.0,3.0,,,2.0,3.0,,,2.0,4.0,,,,,,nar
202630062501,2026-06-25,1,ハルシャダ,4,4,桑村真明,55.0,10.0,12.0,10.0,,,9.0,11.0,,,14.0,14.0,,,9.0,5.0,,,14.0,12.0,,,499.1,10,,nar
202630062501,2026-06-25,1,ブライトホウショウ,7,7,小野楓馬,55.0,1.0,3.0,2.0,,,1.0,1.0,,,3.0,3.0,,,5.0,4.0,,,3.0,8.0,,,7.0,3,,nar
202630062502,2026-06-25,2,ウナトライオン,2,2,小川悠汰,54.0,,4.0,7.0,,,5.0,7.0,,,7.0,9.0,,,7.0,10.0,,,7.0,7.0,,,40.5,6,,nar
202630062502,2026-06-25,2,サラサゴーサイン,6,6,井上瑛太,57.0,,2.0,4.0,,,4.0,1.0,,,4.0,1.0,,,1.0,1.0,,,5.0,3.0,,,2.2,2,,nar
202630062502,2026-06-25,2,シアーエレガンス,7,7,,,,9.0,9.0,,,9.0,7.0,,,11.0,9.0,,,11.0,3.0,,,2.0,4.0,,,,,,nar
202630062502,2026-06-25,2,フロンテアブライト,5,5,宮内勇樹,57.0,,6.0,3.0,,,4.0,5.0,,,6.0,8.0,,,5.0,4.0,,,3.0,3.0,,,13.0,4,,nar
202630062502,2026-06-25,2,ベリープラウド,,1,,,,2.0,2.0,,,3.0,4.0,,,1.0,7.0,,,9.0,3.0,,,9.0,5.0,,,,,,nar
202630062502,2026-06-25,2,ミワクノホウショウ,4,4,桑村真明,55.0,,7.0,4.0,,,1.0,2.0,,,4.0,4.0,,,7.0,3.0,,,4.0,4.0,,,18.5,5,,nar
202630062502,2026-06-25,2,メチカブーラ,3,3,石川倭,55.0,,5.0,5.0,,,9.0,12.0,,,9.0,6.0,,,6.0,1.0,,,5.0,3.0,,,10.1,3,,nar
